id,region,dowt,trp_expert,sp_sale,uio,cpc,total_w
central23,Central,Certified,1,"16,726,612"," 2,316 "," 11,361 "," 3,158,463 "
central24,Central,Certified,1,"31,375,088"," 1,909 "," 21,306 "," 6,881,792 "
central25,Central,Certified,1,"10,973,343"," 1,721 "," 19,541 "," 4,592,239 "
central26,Central,Certified,1,"22,529,123"," 3,154 "," 14,675 "," 13,413,335 "
central27,Central,Certified,0.89,"64,577,369"," 3,779 "," 14,542 "," 26,160,303 "
central28,Central,Certified,0.86,"44,453,993"," 5,021 "," 13,038 "," 12,933,534 "
central29,Central,Certified,1,"36,479,128"," 3,173 "," 15,800 "," 9,385,393 "
central30,Central,Certified,0.89,"19,932,966"," 2,128 "," 18,842 "," 10,193,468 "
moscow1,Moscow,Certified,0.92,"57,406,441"," 7,971 "," 11,365 "," 7,194,352 "
moscow2,Moscow,Certified,0.62,"100,712,081"," 8,202 "," 14,207 "," 17,332,238 "
moscow3,Moscow,Certified,1,"45,511,222"," 3,778 "," 18,378 "," 7,001,929 "
moscow4,Moscow,Certified,1,"249,177,880"," 5,245 "," 15,994 "," 17,001,431 "
moscow5,Moscow,Certified,0.93,"123,920,825"," 6,340 "," 13,690 "," 11,143,261 "
moscow6,Moscow,Certified,0.83,"36,488,285"," 4,537 "," 22,493 "," 17,904,424 "
moscow7,Moscow,Certified,0.94,"73,911,628"," 8,547 "," 12,587 "," 17,156,592 "
moscow8,Moscow,Certified,0.93,"16,664,610"," 4,379 "," 16,851 "," 6,465,890 "
moscow9,Moscow,Certified,1,"30,909,380"," 3,188 "," 16,142 "," 14,737,700 "
moscow10,Moscow,Certified,0.94,"112,050,616"," 4,060 "," 17,196 "," 28,253,102 "
moscow11,Moscow,Certified,1,"12,828,857"," 3,406 "," 16,851 "," 8,195,218 "
moscow12,Moscow,Certified,0.94,"47,052,157"," 5,650 "," 16,894 "," 20,324,063 "
moscow13,Moscow,Certified,0.93,"102,792,360"," 20,354 "," 17,388 "," 13,388,928 "
moscow14,Moscow,Certified,1,"96,064,947"," 5,479 "," 16,920 "," 13,451,100 "
moscow15,Moscow,Certified,1,"101,849,783"," 4,454 "," 25,727 "," 14,664,615 "
moscow16,Moscow,Certified,1,"67,601,411"," 3,542 "," 16,663 "," 3,232,625 "
moscow17,Moscow,Certified,1,"52,065,838"," 2,198 "," 20,871 "," 3,861,043 "
moscow18,Moscow,Certified,0.92,"124,792,046"," 5,214 "," 22,071 "," 37,211,696 "
moscow19,Moscow,Certified,0.78,"163,267,828"," 15,099 "," 16,354 "," 21,456,875 "
moscow20,Moscow,Certified,0.83,"48,570,646"," 4,050 "," 18,591 "," 12,140,179 "
moscow21,Moscow,Certified,0.18,"333,522,741"," 7,422 "," 17,531 "," 14,270,114 "
moscow22,Moscow,Certified,1,"113,635,752"," 4,185 "," 17,621 "," 28,263,673 "
moscow23,Moscow,Certified,1,"65,996,753"," 5,222 "," 15,460 "," 15,274,145 "
moscow24,Moscow,Certified,0.4,"107,005,694"," 4,165 "," 6,344 "," 11,768,455 "
moscow25,Moscow,Certified,0.61,"143,290,735"," 8,912 "," 13,787 "," 22,776,783 "
moscow26,Moscow,Certified,0.95,"78,766,709"," 9,022 "," 15,724 "," 19,136,477 "
moscow27,Moscow,Certified,1,"73,930,102"," 8,677 "," 15,262 "," 19,871,006 "
moscow28,Moscow,Certified,0.88,"85,021,771"," 5,513 "," 13,628 "," 20,360,713 "
moscow29,Moscow,Certified,0.92,"74,649,331"," 6,572 "," 11,493 "," 8,631,013 "
volga1,Volga,Certified,1,"9,524,999"," 2,216 "," 13,628 "," 4,592,513 "
volga2,Volga,Certified,1,"10,923,615"," 1,273 "," 13,267 "," 7,681,495 "
volga3,Volga,Certified,0.5,"26,571,984"," 3,096 "," 33,359 "," 19,414,842 "
volga4,Volga,Certified,0.5,"14,419,084"," 2,448 "," 15,661 "," 8,676,083 "
volga5,Volga,Certified,0.8,"13,318,616"," 1,508 "," 11,293 "," 3,308,814 "
volga6,Volga,Certified,0.75,"23,104,336"," 2,857 "," 17,726 "," 15,811,300 "
volga7,Volga,Certified,0.8,"45,287,650"," 6,253 "," 18,592 "," 14,204,013 "
volga8,Volga,Certified,0.93,"32,551,626"," 5,061 "," 21,201 "," 20,437,681 "
volga9,Volga,Not Certified,0.6,"38,145,020"," 4,700 "," 17,719 "," 11,410,745 "
volga10,Volga,Certified,1,"26,250,876"," 1,995 "," 16,035 "," 7,440,218 "
volga11,Volga,Not Certified,1,"17,266,413"," 1,869 "," 11,898 "," 8,126,435 "
volga12,Volga,Certified,0.7,"18,064,947"," 2,365 "," 15,312 "," 8,176,488 "
volga13,Volga,Certified,1,"13,382,028"," 3,240 "," 12,911 "," 11,284,509 "
volga14,Volga,Not Certified,0.25,"6,684,389", 972 ," 10,735 "," 1,502,905 "
volga15,Volga,Certified,1,"8,270,397"," 1,854 "," 8,231 "," 3,564,237 "
volga16,Volga,Certified,1,"57,840,982"," 5,357 "," 17,989 "," 11,836,578 "
volga17,Volga,Certified,1,"23,913,681"," 4,076 "," 15,182 "," 11,766,261 "
volga18,Volga,Certified,0.83,"59,458,694"," 5,810 "," 19,367 "," 20,219,313 "
volga19,Volga,Certified,1,"16,224,682"," 3,321 "," 13,321 "," 5,581,689 "
volga20,Volga,Certified,0.86,"35,508,545"," 3,960 "," 14,413 "," 14,139,269 "
volga21,Volga,Certified,1,"13,981,031"," 1,600 "," 10,993 "," 5,243,438 "
volga22,Volga,Certified,1,"17,940,949"," 2,994 "," 11,887 "," 4,398,066 "
volga23,Volga,Not Certified,1,"35,009,035"," 3,207 "," 13,408 "," 9,814,613 "
volga24,Volga,Certified,0.2,"11,476,703"," 1,419 "," 15,618 "," 3,092,370 "
volga25,Volga,Certified,1,"21,991,386"," 2,111 "," 11,663 "," 9,831,622 "
